rev-sym,iata-req,onu,Nombre apropiado de envío/Descripción,Clase o Div. (Peligros sec.),Etiqueta(s) de peligro,Grp. De emb.,EQ,APCCL-embalaje,APCCL-neta-máx-bulto,APC-embalaje,APC-neta-máx-bulto,AC-embalaje,AC-neta-máx-bulto,Disp-espec,CRE,ingles
,,2933,2-Cloropropionato de metilo,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Methyl 2-chloropropionate
,,2934,2-Cloropropionato de isopropilo,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Isopropyl 2-chloropropionate
,,2935,2-Cloropropionato de etilo,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Ethyl 2-chloropropionate
,,2936,Ácido tioláctico,6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,,6L,Thiolactic acid
,,2937,Alcohol alfa-metilbencílico líquido,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,"alpha-Methylbenzyl alcohol, liquid"
,,2940,9-Fosfabiciclononanos,4.2,Combustión<Break/>espontánea,II,E2,Prohibido,Prohibido,467,15 kg,470,50 kg,,4L,9-Phosphabicyclononanes
,,2940,Fosfinas de ciclooctadieno,4.2,Combustión<Break/>espontánea,II,E2,Prohibido,Prohibido,467,15 kg,470,50 kg,,4L,Cyclooctadiene phosphines
,,2941,Fluoranilinas,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,Fluoroanilines
,,2942,2-Trifluorometilanilina,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,2-Trifluoromethylaniline
,,2943,Tetrahidrofurfurilamina,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Tetrahydrofurfurylamine
,,2945,N-Metilbutilamina,3 (8),"Líquido inflamable
Corrosivo",II,E2,Y340,0.5 L,352,1 L,363,5 L,,3C,N-Methylbutylamine
,,2946,2-Amino-5-dietilaminopentano,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,2-Amino-5-diethylaminopentane
,,2947,Cloroacetato de isopropilo,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Isopropyl chloroacetate
,,2948,3-Trifluorometilanilina,6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,,6L,3-Trifluoromethylaniline
,,2949,"Hidrosulfuro sódico hidratado
con un mínimo del 25% de agua de cristalización",8,Corrosivo,II,E2,Y844,5 kg,859,15 kg,863,50 kg,,8L,"Sodium hydrosulphide hydrated
with 25% or more water of crystallization"
,,2950,"Gránulos de magnesio recubiertos
en partículas de un mínimo de 149 micrones",4.3,Peligroso mojado,III,E1,Y477,10 kg,486,25 kg,491,100 kg,A803,4W,"Magnesium granules, coated
particle size not less than 149 microns"
,,2956,Almizcle xileno,4.1,,III,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,3E,Musk xylene
,,2956,"5-terc-Butil-2,4,6-trinitro-m-xileno",4.1,,III,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,3E,"5-tert-Butyl-2,4,6-trinitro-m-xylene"
,,2965,Dimetileterato de trifluoruro de boro,"4.3 (3, 8)","Peligroso mojado
Líquido inflamable
Corrosivo",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,480,1 L,,4FW,Boron trifluoride dimethyl etherate
,,2966,Tioglicol,6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,,6L,Thioglycol
,,2967,Ácido sulfámico,8,Corrosivo,III,E1,Y845,5 kg,860,25 kg,864,100 kg,A803,8L,Sulphamic acid
,,2968,"Maneb, estabilizado
contra el calentamiento espontáneo",4.3,Peligroso mojado,III,E1,Y477,10 kg,486,25 kg,491,100 kg,"A3
A803",4W,"Maneb, stabilized
against self-heating"
,,2968,"Preparados de maneb estabilizados
contra el calentamiento espontáneo",4.3,Peligroso mojado,III,E1,Y477,10 kg,486,25 kg,491,100 kg,"A3
A803",4W,"Maneb preparation, stabilized
against self-heating"
,,2969,Copos de ricino †,9,Misceláneas,II,E2,Prohibido,Prohibido,956,Sin límite,956,Sin límite,A31,9L,Castor beans †
,,2969,Harina de ricino †,9,Misceláneas,II,E2,Prohibido,Prohibido,956,Sin límite,956,Sin límite,A31,9L,Castor meal †
,,2969,Semillas de ricino †,9,Misceláneas,II,E2,Prohibido,Prohibido,956,Sin límite,956,Sin límite,A31,9L,Castor flake †
,,2969,Torta de ricino †,9,Misceláneas,II,E2,Prohibido,Prohibido,956,Sin límite,956,Sin límite,A31,9L,Castor pomace †
,,2977,"Material radiactivo, hexafluoruro de uranio, fisionable","7 (6.1, 8)","Radiactivo
Tóxico
Corrosivo
Fisible",,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,,7CP,"Radioactive material, uranium hexafluoride, fissile"
,,2978,"Material radiactivo, hexafluoruro de uranio
no fisionable o fisionable exceptuado","7 (6.1, 8)","Radiactivo
Tóxico
Corrosivo",,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,A139,7CP,"Radioactive material, uranium hexafluoride
non-fissile or fissile excepted"
,,2983,"Óxido de etileno y óxido de propileno en mezcla
con un máximo del 30% de óxido de etileno",3 (6.1),"Líquido inflamable
Tóxico",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,361,30 L,,3P,"Ethylene oxide and propylene oxide mixture
30% or less ethylene oxide"
,,2984,"Peróxido de hidrógeno en solución acuosa
con el 8% o más pero menos del 20% de peróxido de hidrógeno (estabilizada según sea necesario)",5.1,Comburente,III,E1,Y541,1 L,551,2.5 L,555,30 L,A803,5L,"Hydrogen peroxide, aqueous solution
with 8% or more but less than 20% hydrogen peroxide (stabilized as necessary)"
,,2985,"Clorosilanos, inflamables, corrosivos, n.e.p.",3 (8),"Líquido inflamable
Corrosivo",II,E0,Prohibido,Prohibido,Prohibido,Prohibido,377,5 L,,3C,"Chlorosilanes, flammable, corrosive, n.o.s."
,,2986,"Clorosilanos corrosivos inflamables, n.e.p.",8 (3),"Corrosivo
Líquido inflamable",II,E0,Prohibido,Prohibido,Prohibido,Prohibido,876,30 L,A1,8F,"Chlorosilanes, corrosive, flammable, n.o.s."
,,2987,"Clorosilanos corrosivos, n.e.p.",8,Corrosivo,II,E0,Prohibido,Prohibido,Prohibido,Prohibido,876,30 L,A1,8L,"Chlorosilanes, corrosive, n.o.s."
,,2988,"Clorosilanos que reaccionan con el agua, inflamables, corrosivos, n.e.p.","4.3 (3, 8)","Peligroso mojado
Líquido inflamable
Corrosivo",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,480,1 L,,4FW,"Chlorosilanes, water-reactive, flammable, corrosive, n.o.s."
,,2989,Fosfito dibásico de plomo,4.1,Sólido inflamable,II,E2,Y441,5 kg,445,15 kg,448,50 kg,"A3
A803",3L,"Lead phosphite, dibasic"
,,2989,Fosfito dibásico de plomo,4.1,Sólido inflamable,III,E1,Y443,10 kg,446,25 kg,449,100 kg,"A3
A803",3L,"Lead phosphite, dibasic"
,,2990,Aparatos de salvamento autoinflables,9,Misceláneas,,E0,Prohibido,Prohibido,955,Sin límite,955,Sin límite,"A48
A87
A154
A223",9L,"Life-saving appliances, self-inflating"
,,2991,"Plaguicida a base de carbamato, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6F,"Carbamate pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,2991,"Plaguicida a base de carbamato, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6F,"Carbamate pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,2991,"Plaguicida a base de carbamato, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6F,"Carbamate pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,2992,"Plaguicida a base de carbamato, líquido, tóxico ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6L,"Carbamate pesticide, liquid, toxic ★"
,,2992,"Plaguicida a base de carbamato, líquido, tóxico ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6L,"Carbamate pesticide, liquid, toxic ★"
,,2992,"Plaguicida a base de carbamato, líquido, tóxico ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6L,"Carbamate pesticide, liquid, toxic ★"
,,2993,"Plaguicida arsenical, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6F,"Arsenical pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,2993,"Plaguicida arsenical, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6F,"Arsenical pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,2993,"Plaguicida arsenical, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6F,"Arsenical pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,2994,"Plaguicida arsenical, líquido, tóxico ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6L,"Arsenical pesticide, liquid, toxic ★"
,,2994,"Plaguicida arsenical, líquido, tóxico ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6L,"Arsenical pesticide, liquid, toxic ★"
,,2994,"Plaguicida arsenical, líquido, tóxico ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6L,"Arsenical pesticide, liquid, toxic ★"
,,2995,"Plaguicida organoclorado, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6F,"Organochlorine pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,2995,"Plaguicida organoclorado, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6F,"Organochlorine pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,2995,"Plaguicida organoclorado, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6F,"Organochlorine pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,2996,"Plaguicida organoclorado, líquido, tóxico ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6L,"Organochlorine pesticide, liquid, toxic ★"
,,2996,"Plaguicida organoclorado, líquido, tóxico ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6L,"Organochlorine pesticide, liquid, toxic ★"
,,2996,"Plaguicida organoclorado, líquido, tóxico ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6L,"Organochlorine pesticide, liquid, toxic ★"
,,2997,"Plaguicida a base de triazina, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6F,"Triazine pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,2997,"Plaguicida a base de triazina, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6F,"Triazine pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,2997,"Plaguicida a base de triazina, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6F,"Triazine pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,2998,"Plaguicida a base de triazina, líquido, tóxico ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6L,"Triazine pesticide, liquid, toxic ★"
,,2998,"Plaguicida a base de triazina, líquido, tóxico ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6L,"Triazine pesticide, liquid, toxic ★"
,,2998,"Plaguicida a base de triazina, líquido, tóxico ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6L,"Triazine pesticide, liquid, toxic ★"
,,3005,"Plaguicida a base de tiocarbamato, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6F,"Thiocarbamate pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3005,"Plaguicida a base de tiocarbamato, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6F,"Thiocarbamate pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3005,"Plaguicida a base de tiocarbamato, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6F,"Thiocarbamate pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3006,"Plaguicida a base de tiocarbamato, líquido, tóxico ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6L,"Thiocarbamate pesticide, liquid, toxic ★"
,,3006,"Plaguicida a base de tiocarbamato, líquido, tóxico ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6L,"Thiocarbamate pesticide, liquid, toxic ★"
,,3006,"Plaguicida a base de tiocarbamato, líquido, tóxico ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6L,"Thiocarbamate pesticide, liquid, toxic ★"
,,3009,"Plaguicida a base de cobre, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6F,"Copper based pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3009,"Plaguicida a base de cobre, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6F,"Copper based pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3009,"Plaguicida a base de cobre, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6F,"Copper based pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3010,"Plaguicida a base de cobre, líquido, tóxico ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6L,"Copper based pesticide, liquid, toxic ★"
,,3010,"Plaguicida a base de cobre, líquido, tóxico ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6L,"Copper based pesticide, liquid, toxic ★"
,,3010,"Plaguicida a base de cobre, líquido, tóxico ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6L,"Copper based pesticide, liquid, toxic ★"
,,3011,"Plaguicida a base de mercurio, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C o más",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6F,"Mercury based pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3011,"Plaguicida a base de mercurio, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C o más",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6F,"Mercury based pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3011,"Plaguicida a base de mercurio, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C o más",6.1 (3),"Tóxico
Líquido inflamable",III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6F,"Mercury based pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3012,"Plaguicida a base de mercurio, líquido, tóxico ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6L,"Mercury based pesticide, liquid, toxic ★"
,,3012,"Plaguicida a base de mercurio, líquido, tóxico ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6L,"Mercury based pesticide, liquid, toxic ★"
,,3012,"Plaguicida a base de mercurio, líquido, tóxico ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6L,"Mercury based pesticide, liquid, toxic ★"
,,3013,"Plaguicida a base de nitrofenol sustituido, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6F,"Substituted nitrophenol pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3013,"Plaguicida a base de nitrofenol sustituido, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6F,"Substituted nitrophenol pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3013,"Plaguicida a base de nitrofenol sustituido, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6F,"Substituted nitrophenol pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3014,"Plaguicida a base de nitrofenol sustituido, líquido, tóxico ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6L,"Substituted nitrophenol pesticide, liquid, toxic ★"
,,3014,"Plaguicida a base de nitrofenol sustituido, líquido, tóxico ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6L,"Substituted nitrophenol pesticide, liquid, toxic ★"
,,3014,"Plaguicida a base de nitrofenol sustituido, líquido, tóxico ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6L,"Substituted nitrophenol pesticide, liquid, toxic ★"
,,3015,"Plaguicida a base de dipiridilo, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6F,"Bipyridilium pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3015,"Plaguicida a base de dipiridilo, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6F,"Bipyridilium pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3015,"Plaguicida a base de dipiridilo, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6F,"Bipyridilium pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3016,"Plaguicida a base de dipiridilo, líquido, tóxico ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6L,"Bipyridilium pesticide, liquid, toxic ★"
,,3016,"Plaguicida a base de dipiridilo, líquido, tóxico ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6L,"Bipyridilium pesticide, liquid, toxic ★"
,,3016,"Plaguicida a base de dipiridilo, líquido, tóxico ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6L,"Bipyridilium pesticide, liquid, toxic ★"
,,3017,"Plaguicida a base de organofósforo, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6F,"Organophosphorus pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3017,"Plaguicida a base de organofósforo, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6F,"Organophosphorus pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3017,"Plaguicida a base de organofósforo, líquido, tóxico, inflamable, ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6F,"Organophosphorus pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3018,"Plaguicida a base de organofósforo, líquido, tóxico ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6L,"Organophosphorus pesticide, liquid, toxic ★"
,,3018,"Plaguicida a base de organofósforo, líquido, tóxico ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6L,"Organophosphorus pesticide, liquid, toxic ★"
,,3018,"Plaguicida a base de organofósforo, líquido, tóxico ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6L,"Organophosphorus pesticide, liquid, toxic ★"
,,3019,"Plaguicida a base de organoestaño, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6F,"Organotin pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3019,"Plaguicida a base de organoestaño, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6F,"Organotin pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3019,"Plaguicida a base de organoestaño, líquido, tóxico, inflamable ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6F,"Organotin pesticide, liquid, toxic, flammable ★
flash point 23°C or more"
,,3020,"Plaguicida a base de organoestaño, líquido, tóxico ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6L,"Organotin pesticide, liquid, toxic ★"
,,3020,"Plaguicida a base de organoestaño, líquido, tóxico ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6L,"Organotin pesticide, liquid, toxic ★"
,,3020,"Plaguicida a base de organoestaño, líquido, tóxico ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6L,"Organotin pesticide, liquid, toxic ★"
,,3021,"Plaguicida líquido, inflamable, tóxico,, n.e.p. ★
de punto de inflamación inferior a 23°C",3 (6.1),"Líquido inflamable
Tóxico",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,361,30 L,A4,3P,"Pesticide, liquid, flammable, toxic, n.o.s. ★
flash point less than 23°C"
,,3021,"Plaguicida líquido, inflamable, tóxico,, n.e.p. ★
de punto de inflamación inferior a 23°C",3 (6.1),"Líquido inflamable
Tóxico",II,E2,Y341,1 L,352,1 L,364,60 L,A4,3P,"Pesticide, liquid, flammable, toxic, n.o.s. ★
flash point less than 23°C"
,,3022,"Óxido de 1,2-butileno, estabilizado",3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,A209,3H,"1,2-Butylene oxide, stabilized"
,,3023,2-Metil-2-heptanotiol,6.1 (3),,I,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,6F,2-Methyl-2-heptanethiol
,,3024,"Plaguicida a base de derivados de la cumarina, líquido, inflamable, tóxico ★
de punto de inflamación inferior a 23°C",3 (6.1),"Líquido inflamable
Tóxico",I,E0,Prohibido,Prohibido,Prohibido,Prohibido,361,30 L,A4,3P,"Coumarin derivative pesticide, liquid, flammable, toxic ★
flashpoint less than 23°C"
,,3024,"Plaguicida a base de derivados de la cumarina, líquido, inflamable, tóxico ★
de punto de inflamación inferior a 23°C",3 (6.1),"Líquido inflamable
Tóxico",II,E2,Y341,1 L,352,1 L,364,60 L,A4,3P,"Coumarin derivative pesticide, liquid, flammable, toxic ★
flashpoint less than 23°C"
